serial_number,genre_id,genre_label
180,3.1.5.3,History
181,3.1.5.3.1,Monument and heritage site
182,3.1.5.4,Culture/Tradition/Anthropology/Ethnic studies
183,3.1.5.5,War/Conflict
184,3.1.5.6,Philosophy
185,3.1.5.7,Political Science
186,3.1.6,Sciences
187,3.1.6.1,Applied sciences
188,3.1.6.2,Nature/Natural sciences
189,3.1.6.2.1,Biology
190,3.1.6.2.2,Geology
191,3.1.6.2.3,Botany
192,3.1.6.2.4,Zoology
193,3.1.6.2.5,Paleontology
194,3.1.6.2.6,Meteorology
195,3.1.6.2.7,Anthropology
196,3.1.6.2.8,Ecology
197,3.1.6.2.9,Marine science
198,3.1.6.3,Animals/Wildlife
199,3.1.6.4,Environment/Geography
200,3.1.6.5,Space/Universe
201,3.1.6.5.1,Cosmology
202,3.1.6.6,Physical sciences
203,3.1.6.6.1,Physics
204,3.1.6.6.2,Chemistry
205,3.1.6.6.3,Mechanics
206,3.1.6.6.4,Engineering
207,3.1.6.6.5,Particle physics
208,3.1.6.6.6,Material science
209,3.1.6.6.7,Micro science
210,3.1.6.6.8,Physical sciences > Technology
211,3.1.6.7,Heath / Medicine
212,3.1.6.7.1,Alternative Medicine / Alternative Health
213,3.1.6.7.2,Sexuality
214,3.1.6.8,Sciences > Technology
215,3.1.6.8.1,Biotechnology
216,3.1.6.8.2,Agricultural research and technology
217,3.1.6.8.3,Nanotechnology
218,3.1.6.8.4,IT/computer sciences
219,3.1.6.9,Physiology
220,3.1.6.10,Psychology
221,3.1.6.11,Social sciences
222,3.1.6.11.1,Sociology
223,3.1.6.12,Spiritual
224,3.1.6.13,Mathematics
225,3.1.6.14,Archaeology
226,3.1.6.15,Statistics
227,3.1.6.16,Liberal Arts and Science
228,3.1.6.17,Sciences > Gadgets
229,3.1.7,Human interest
230,3.1.7.1,Human interest > Reality
231,3.1.7.2,Society/Show business/Gossip
232,3.1.7.3,Biography/Notable personalities/Profile
233,3.1.7.4,Personal problems
234,3.1.7.5,Investigative journalism
235,3.1.7.6,Museums
236,3.1.7.7,Religious buildings
237,3.1.7.8,Personal stories
238,3.1.7.9,Family life
239,3.1.7.10,Libraries
240,3.1.7.11,Magazines
241,3.1.8,Transport and Communications
242,3.1.8.1,Air
243,3.1.8.2,Land
244,3.1.8.3,Sea
245,3.1.8.4,Space
246,3.1.9,Events
247,3.1.9.1,Anniversary
248,3.1.9.2,Fair
249,3.1.9.3,Tradeshow
250,3.1.9.4,Events > Musical
251,3.1.9.5,Exhibition
252,3.1.9.6,Royal
253,3.1.9.7,State
254,3.1.9.8,International
255,3.1.9.9,National
256,3.1.9.10,Events > Local/Regional
