xpath, description, valueType, exampleValues, mappingRequired
/rss/channel/item/media:title, https://www.rssboard.org/media-rss#media-title, xs:string, "Prison Break", no
/rss/channel/item/media:title/@amg:lang, specifies the language of the title as defiend in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/media:credit, https://www.rssboard.org/media-rss#media-credit, xs:complexType, "Tom Cruise", no
/rss/channel/item/media:credit/@amg:role, Role as defined in http://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS.rdf See: https://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS#_25.9", yes
/rss/channel/item/media:credit/@role, Role label as defined in https://www.rssboard.org/media-rss#media-credit, xs:string, "actor", no
/rss/channel/item/media:rating, https://www.rssboard.org/media-rss#media-rating Rating value will belong to https://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode.rdf See: https://www.ebu.ch/metadata/ontologies/skos/ebu_PictureDisplayFormatCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode#_14", yes
/rss/channel/item/media:rating/@label, specifies the label of the rating which is same as skos:prefLabel in https://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode.rdf, xs:string, "PG-13", no
/rss/channel/item/media:subTitle, https://www.rssboard.org/media-rss#media-subtitle, n/a, n/a, no
/rss/channel/item/media:subTitle/@href, specifies the url of the subtitle, xs:anyUri, "https://www.example.com/subtitle.srt", no
/rss/channel/item/media:subTitle/@amg:lang, specifies the language of the subtitle as defiend in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes 
/rss/channel/item/media:subTitle/@type, the standard MIME type of the object, xs:string, "text/srt", no
/rss/channel/item/amg:rights, Element to express rights associated with the media object, xs:complexType, n/a, no
/rss/channel/item/amg:rights/amg:rightsEndDateTime, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsEndDateTime.html, xs:dateTime, "2019-01-01T00:00:00Z", yes
/rss/channel/item/amg:rights/amg:rightsLink, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsLink.html This could point to a rightsLine URL, xs:string, "https://rightsline.com/123456", no
/rss/channel/item/amg:rights/amg:rightsStartDateTime, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsStartDateTime.html, xs:dateTime, "2019-01-01T00:00:00Z", yes
/rss/channel/item/amg:rights/amg:channelId, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_publicationChannelId.html, xs:anyUri, "AMG009881C1", yes
/rss/channel/item/amg:rights/amg:channelName, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_publicationChannelName.html, xs:string, "Tastemade International", yes
/rss/channel/item/amg:rights/amg:channelType, Channel type, xs:enumeration {linear}, "linear", no
/rss/channel/item/amg:rights/amg:serviceId, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_serviceId.html, xs:anyUri, "https://metadata.amagi.tv/skos/amagi_ebu_serviceIdCS#_roku", yes
/rss/channel/item/amg:rights/amg:serviceName, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_serviceName.html, xs:string, "Roku", yes
/rss/channel/item/amg:rights/amg:serviceType, Service type, xs:enumeration {AVOD SVOD TVOD DTH Cable}, "AVOD", no
/rss/channel/item/amg:rights/amg:rightsTerritoryExcludes, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsTerritoryExcludes.html Value as in https://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS#_US", yes
